No.;Time;;time 1;time 2;delay;;delay 1;delay 2;jitter
15;0,025106;;0,025106;0,551297;0,526191;;0,526151;-0,283997;-0,810148
208;0,551297;;0,551297;0,551337;4E-05;;-0,283997;0,283984;0,567981
209;0,551337;;0,551337;0,835374;0,284037;;0,283984;-0,014553;-0,298537
306;0,835374;;0,835374;0,835427;5,3E-05;;-0,014553;0,014604;0,029157
307;0,835427;;0,835427;0,850033;0,014606;;0,014604;-7,4E-05;-0,014678
318;0,850033;;0,850033;0,850035;2E-06;;-7,4E-05;2,2E-05;9,6E-05
319;0,850035;;0,850035;0,850111;7,6E-05;;2,2E-05;-0,794491;-0,794513
320;0,850111;;0,850111;0,850165;5,4E-05;;-0,794491;0,794458;1,588949
321;0,850165;;0,850165;1,64471;0,794545;;0,794458;-0,024476;-0,818934
354;1,64471;;1,64471;1,644797;8,7E-05;;-0,024476;-0,062241;-0,037765
355;1,644797;;1,644797;1,66936;0,024563;;-0,062241;-0,18915;-0,126909
399;1,66936;;1,66936;1,756164;0,086804;;-0,18915;0,275872;0,465022
416;1,756164;;1,756164;2,032118;0,275954;;0,275872;-0,002133;-0,278005
520;2,032118;;2,032118;2,0322;8,2E-05;;-0,002133;-0,080957;-0,078824
522;2,0322;;2,0322;2,034415;0,002215;;-0,080957;-0,21966;-0,138703
523;2,034415;;2,034415;2,117587;0,083172;;-0,21966;0,302739;0,522399
568;2,117587;;2,117587;2,420419;0,302832;;0,302739;-0,145868;-0,448607
690;2,420419;;2,420419;2,420512;9,3E-05;;-0,145868;-2,425532;-2,279664
691;2,420512;;2,420512;2,566473;0,145961;;-2,425532;2,525902;4,951434
732;2,566473;;2,566473;5,137966;2,571493;;2,525902;-0,004517;-2,530419
1587;5,137966;;5,137966;5,183557;0,045591;;-0,004517;0,050072;0,054589
1608;5,183557;;5,183557;5,233665;0,050108;;0,050072;-0,000198;-0,05027
1619;5,233665;;5,233665;5,233701;3,6E-05;;-0,000198;0,000195;0,000393
1620;5,233701;;5,233701;5,233935;0,000234;;0,000195;-0,06917;-0,069365
1621;5,233935;;5,233935;5,233974;3,9E-05;;-0,06917;0,067707;0,136877
